"Alentejo, Portugal"
Algeria
"Alta, Norway"
"Antigua, Guatemala"
Arkansas’ Ozarks
"Assam, India"
"Ayutthaya, Thailand"
Bhutan
"Bristol, England"
British Virgin Islands
"Cairo, Egypt"
Canadian High Arctic
Canary Islands
"Cappadocia, Turkey"
"Colchagua Valley, Chile"
"Doha, Qatar"
Dominica
"Eastern Shore, Virginia"
"Galapagos Islands, Ecuador"
"Gaspé, Québec"
"Gdańsk, Poland"
Ghana
"Great Barrier Reef, Australia"
Guyana
"Harbin, China"
"Istria, Croatia"
"Jujuy, Argentina"
Luxembourg
Kenya
"Lombok, Indonesia"
"Makgadikgadi Pans, Botswana"
"Milos, Greece"
"Moab, Utah"
"Oruro, Bolivia"
"Puebla, Mexico"
"Queenstown, New Zealand"
Saipan
"Salento, Colombia"
Samoa
"Sayulita, Mexico"
"Sydney, Australia"
"Taipei, Taiwan"
"Telluride, Colorado"
"Tufi, Papua New Guinea"
Uganda
Uruguay
Uzbekistan
"Valdez, Alaska"
"Waiheke Island, New Zealand"
"Walt Disney World, Florida"
