,연도,월,생산량
0,2016,1,4288593.0
1,2016,2,3592400.0
2,2016,3,3201669.0
3,2016,4,2135286.0
4,2016,5,1989360.0
5,2016,6,2076852.0
6,2016,7,2300665.0
7,2016,8,2278564.0
8,2016,9,2046908.0
9,2016,10,2523673.0
10,2016,11,3473228.0
11,2016,12,3912322.0
12,2017,1,4207223.0
13,2017,2,3804316.0
14,2017,3,3427452.0
15,2017,4,2420775.0
16,2017,5,2075409.0
17,2017,6,2230415.0
18,2017,7,2490762.0
19,2017,8,2269045.0
20,2017,9,1984946.0
21,2017,10,2157623.0
22,2017,11,3621631.0
23,2017,12,4951454.0
24,2018,1,5237703.0
25,2018,2,4384777.0
26,2018,3,3841499.0
27,2018,4,3127678.0
28,2018,5,2742394.0
29,2018,6,2629796.0
30,2018,7,2752572.0
31,2018,8,2726077.0
32,2018,9,2171415.0
33,2018,10,2967234.0
34,2018,11,3531774.0
35,2018,12,4763917.0
36,2019,1,4891471.0
37,2019,2,3970829.0
38,2019,3,3681343.0
39,2019,4,3193679.0
40,2019,5,2597643.0
41,2019,6,2318995.0
42,2019,7,2707143.0
43,2019,8,2673247.0
44,2019,9,2316792.0
45,2019,10,2663634.0
46,2019,11,3590748.0
47,2019,12,4853647.0
48,2020,1,4782757.0
49,2020,2,4245791.0
50,2020,3,3833352.0
51,2020,4,2833558.0
52,2020,5,2165280.0
53,2020,6,2291469.0
54,2020,7,2468908.0
55,2020,8,2812994.0
56,2020,9,2666938.0
57,2020,10,2949420.0
58,2020,11,3679463.0
59,2020,12,5243033.0
60,2021,1,5666333.0
61,2021,2,4342644.0
62,2021,3,4141503.0
63,2021,4,3296135.0
64,2021,5,2972416.0
65,2021,6,2943359.0
66,2021,7,3264511.0
67,2021,8,2942282.0
68,2021,9,2786125.254
69,2021,10,3168051.659
70,2021,11,3822459.202
71,2021,12,4918503.724
72,2022,1,5337930.094
73,2022,2,4727536.483
74,2022,3,4510243.141
75,2022,4,3280795.562
76,2022,5,2918718.758
77,2022,6,2877369.949
78,2022,7,3175651.631
79,2022,8,2885559.384
80,2022,9,2575865.622
81,2022,10,2932386.685
